"","ints","mean.K","mean.EC","mean.ECD","mean.PID","mean.FID","max.K","max.EC","max.ECD","max.PID","max.FID","MiHPT_ID","max.depth","top","bottom"
"254","(92,93]",0.247500000149011,8.515,5879329.85,2960.4,32776.9,2.5,10.39,7080294,3128,36622,"MIHPT-04",103.25,92,93
"259","(97,98]",0.495000015571714,6.158,1044892.75,2895.4,31617.25,4.80000019073486,8.31,1702933,3052,40284,"MIHPT-04",103.25,97,98
"261","(99,100]",0.141500001773238,7.6145,847132.8,2826.8,30762.85,0.930000007152557,8.88,991241,2899,32960,"MIHPT-04",103.25,99,100
"262","(100,101]",0.584500002115964,8.734,733665,2811.6,28748.55,3.40000009536743,9.94,861843,2899,30519,"MIHPT-04",103.25,100,101
"263","(101,102]",0.828823533566559,6.845,759300.65,2804,29786.25,2.90000009536743,8.06,965606,2899,31739,"MIHPT-04",103.25,101,102
"307","(40,41]",2.06300002448261,2.586,286202.4,2014.35,21363.2,7.90000009536743,2.72,339360,2136,26864,"MIHPT-05",77.6,40,41
"308","(41,42]",6.49000000618398,2.8065,331430.4,1956.85,24048.8,11,3.04,394304,2060,32960,"MIHPT-05",77.6,41,42
"309","(42,43]",2.87650001421571,2.6795,216864.8,1979.9,21118.4,17,3.23,271008,2136,25632,"MIHPT-05",77.6,42,43
"310","(43,44]",21.15,2.239,202461.6,1941.7,19654.4,24,2.37,267344,2060,20752,"MIHPT-05",77.6,43,44
"311","(44,45]",24.2,2.538,254036.8,1934.05,20142.4,32,3.11,432144,2060,23200,"MIHPT-05",77.6,44,45
"312","(45,46]",22.8800000190735,2.476,327768,1930.15,22828,32,2.84,430928,2060,26864,"MIHPT-05",77.6,45,46
"313","(46,47]",9.66999998390675,2.2415,296273.6,1888.15,21974.4,29,2.48,374768,1984,25632,"MIHPT-05",77.6,46,47
"314","(47,48]",19.8099999833852,2.7645,270027.2,1892,21423.2,33,3.22,324720,2060,23200,"MIHPT-05",77.6,47,48
"315","(48,49]",0.460000001266598,2.7875,281380,1899.6,24964.8,3.40000009536743,3.19,311296,1984,31744,"MIHPT-05",77.6,48,49
"316","(49,50]",0.296999996900558,3.113,250008.8,1857.65,21544,1.79999995231628,3.35,269776,1984,23200,"MIHPT-05",77.6,49,50
"317","(50,51]",4.37050000242889,3.263,242255.2,1953.05,20264.8,14,3.59,251472,2136,21968,"MIHPT-05",77.6,50,51
"318","(51,52]",6.12500000633299,3.034,253912.8,2033.3,20630.4,16,3.43,280768,2136,23200,"MIHPT-05",77.6,51,52
"319","(52,53]",3.10099999979138,3.354,263192,2105.8,20690.4,8,4.16,323504,2213,21968,"MIHPT-05",77.6,52,53
"321","(54,55]",0.404999998956919,2.99,378614.4,2010.45,24781.6,3.70000004768372,3.35,451680,2136,37840,"MIHPT-05",77.6,54,55
"322","(55,56]",3.26499998196959,2.612,520828.8,1976.05,25820.8,14,3.13,642112,2060,32960,"MIHPT-05",77.6,55,56
"323","(56,57]",11.1400000240654,2.3475,453200,1957,24416.8,17,2.56,522480,2060,26864,"MIHPT-05",77.6,56,57
"324","(57,58]",10.8049999907613,2.4855,346202.4,1979.85,23866.4,18,2.71,417488,2213,26864,"MIHPT-05",77.6,57,58
"325","(58,59]",11.4700000312179,2.5925,335764.8,1930.2,25331.2,24,2.9,467536,2060,28080,"MIHPT-05",77.6,58,59
"326","(59,60]",11.4699999991804,2.5245,489820.8,1934.05,25514.4,24,2.71,622576,2060,29296,"MIHPT-05",77.6,59,60
"327","(60,61]",18.6400000095367,2.6125,635456,1907.2,26735.2,23,2.87,722672,2060,32960,"MIHPT-05",77.6,60,61
"328","(61,62]",24.45,3.105,593646.4,1888.2,23378.4,31,3.35,738544,2060,25632,"MIHPT-05",77.6,61,62
"329","(62,63]",28.95,2.9295,830165.6,1907.2,23440,32,3.09,979040,1984,26864,"MIHPT-05",77.6,62,63
"330","(63,64]",30.8,2.9555,1729973.6,1850.05,24172.8,32,3.25,2284000,1984,25632,"MIHPT-05",77.6,63,64
"331","(64,65]",29.7,2.9375,2520156.8,1914.85,23682.4,31,3.16,3786736,2060,25632,"MIHPT-05",77.6,64,65
"332","(65,66]",24.55,2.989,4250679.2,1998.95,24355.2,30,3.3,5814384,2136,28080,"MIHPT-05",77.6,65,66
"333","(66,67]",28.45,2.961,4922024.8,2098.15,25025.6,32,3.1,5802176,2213,26864,"MIHPT-05",77.6,66,67
"334","(67,68]",30.1,3.0025,2201179.2,2029.45,23135.2,33,3.26,3879520,2213,24416,"MIHPT-05",77.6,67,68
"335","(68,69]",32.45,2.8015,2422436.8,1968.25,23563.2,35,2.94,2609936,2136,25632,"MIHPT-05",77.6,68,69
"336","(69,70]",35.8,2.685,2577715.2,1987.55,24112,37,2.86,2972496,2136,25632,"MIHPT-05",77.6,69,70
"337","(70,71]",36.55,2.8475,3852473.6,1972.25,23808,38,3.02,4787744,2060,25632,"MIHPT-05",77.6,70,71
"338","(71,72]",35.35,2.8945,3929684.8,1956.95,23317.6,39,3.06,4550912,2213,25632,"MIHPT-05",77.6,71,72
"339","(72,73]",25.1,3.086,1445416.8,1949.35,23256.8,30,3.22,3391216,2060,29296,"MIHPT-05",77.6,72,73
"340","(73,74]",25.35,2.501,928188,1937.9,24719.2,30,2.9,1427040,2060,30512,"MIHPT-05",77.6,73,74
"341","(74,75]",23,2.7925,509414.4,1914.8,23012,30,3.29,605488,2060,24416,"MIHPT-05",77.6,74,75
"342","(75,76]",32.85,2.8255,435745.6,1880.55,25576.8,37,3.43,518816,1984,34176,"MIHPT-05",77.6,75,76
"343","(76,77]",35,2.7915,320241.777777778,1881.88888888889,21834.6666666667,36,3.3,346688,2060,23200,"MIHPT-05",77.6,76,77
"367","(40,41]",6.80000019073486,3.0195,281075.4,2193.6,24170.75,6.80000019073486,3.23,319834,2289,26856,"MIHPT-07",73.4,40,41
"368","(41,42]",10.8900000095367,2.9225,248542.65,2220.35,24109.75,15,3.03,289315,2365,25636,"MIHPT-07",73.4,41,42
"369","(42,43]",21.55,2.9895,210760.8,2182.1,23377.15,26,3.18,238044,2289,25636,"MIHPT-07",73.4,42,43
"370","(43,44]",24.1974999964237,3.22,209296,2159.25,23682.4,29,3.35,223396,2213,25636,"MIHPT-07",73.4,43,44
"371","(44,45]",28.1,3.3965,200933.9,2124.8,23804.5,33,3.57,219733,2213,25636,"MIHPT-07",73.4,44,45
"372","(45,46]",31.9,4.0645,185369.45,2033.25,23194,34,4.37,213630,2289,25636,"MIHPT-07",73.4,45,46
"373","(46,47]",37.15,4.42,181707.25,1968.35,24048.5,41,4.57,187994,2060,29298,"MIHPT-07",73.4,46,47
"374","(47,48]",41.05,4.264,174565.95,1964.65,23682.4,42,4.51,178228,2136,28077,"MIHPT-07",73.4,47,48
"375","(48,49]",42.5,4.645,192755,1964.7,23743.4,44,4.97,218513,2060,26856,"MIHPT-07",73.4,48,49
"376","(49,50]",40.6,3.9235,236884.75,1991.3,24842.3,43,4.6,281991,2136,26856,"MIHPT-07",73.4,49,50
"377","(50,51]",11.9750000104308,3.679,297982.65,1983.8,25208.5,39,3.96,332041,2060,28077,"MIHPT-07",73.4,50,51
"378","(51,52]",10.6044999808073,3.3885,378490.6,2090.65,30030.15,17,3.53,460219,2289,37843,"MIHPT-07",73.4,51,52
"379","(52,53]",23.05,3.3875,429639.55,1987.45,25513.6,29,3.54,568865,2136,28077,"MIHPT-07",73.4,52,53
"380","(53,54]",32.45,3.386,615009.05,2029.55,26429.1,34,3.53,708029,2136,28077,"MIHPT-07",73.4,53,54
"381","(54,55]",33.25,3.566,595721.3,2025.75,25940.85,36,3.75,676290,2136,28077,"MIHPT-07",73.4,54,55
"382","(55,56]",32.2,3.474,435010.85,2014.35,26306.95,34,4.27,501724,2060,28077,"MIHPT-07",73.4,55,56
"383","(56,57]",29.4099999904633,4.873,391003.2,2010.5,25818.75,36,5.2,433363,2136,28077,"MIHPT-07",73.4,56,57
