LOCID,ECOORD,NCOORD,ELEV
B30HP022,390039.397222222,1430168.54833333,1103.07
B30HP023,390073.637222222,1430168.46833333,1098.16
B30HP024,390107.727222222,1430164.56833333,1097.86
B30HP025,390128.997222222,1430159.50833333,1097.69
B30HP026,390023.327222222,1430043.36833333,1102.45
B30HP027,390063.797222222,1430039.35833333,1100.45
B30HP028,390087.277222222,1430034.92833333,1100.77
B30HP029,390116.997222222,1430048.02833333,1100.06
B30HP030,390070.437222222,1430199.60833333,1098.44
B30HP031,390103.167222222,1430193.02833333,1097.62
B30HP032,390138.677222222,1430188.97833333,1097.35
B30HP033,390172.277222222,1430184.75833333,1097.37
B30HP034,390078.987222222,1430315.09833333,1096.08
B30HP035,389998.507222222,1430233.55833333,1101.97
B30HP036,389998.467222222,1430100.00833333,1103.76
B31HP001,390314.557222222,1430855.12833333,1080.28
B31HP002,390338.117222222,1430865.27833333,1079.53
B31HP003,390272.607222222,1430897.31833333,1080.53
B3AREA1,389799.097222222,1429062.45833333,1110
B3AREA2,389884.097222222,1429036.45833333,1110
B3AREA3,389889.097222222,1429136.45833333,1110
B3AREA4,389919.097222222,1429236.45833333,1110
B3FLOOR,389939.097222222,1429336.45833333,1110
B3SUMP,389919.097222222,1429416.45833333,1110
B44ASSVE-EFF,390252.587222222,1430315.00833333,1094
B44ASSVE-INF,390166.717222222,1428706.40833333,1094
B44ASSVE-MID,390221.237222222,1428683.04833333,1094
B4MWA,391077.197222222,1429165.20833333,1103.8
B4MWAA,390220.737222222,1431458.04833333,1071.48
B4MWBB,389954.407222222,1430410.82833333,1093.7
B4MWD,390219.097222222,1430556.45833333,1080
B4MWDD,391973.227222222,1429387.30833333,1095.67
B4MWE,389668.767222222,1430780.96833333,1095.34
B4MWF,389670.117222222,1430787.68833333,1092.07
B4MWFF,391768.327222222,1429858.36833333,1099.26
B4MWH,390525.467222222,1430409.03833333,1074.9
B4MWHH,391055.587222222,1429861.53833333,1103.13
B4MWHH-A,391055.687222222,1429861.37833333,1103.13
B4MWHH-B,391055.697222222,1429861.37833333,1103.13
B4MWI,390536.577222222,1430398.66833333,1074.6
B4MWIA,390536.427222222,1430399.88833333,1076.69
B4MWIB,390536.437222222,1430399.88833333,1076.69
B4MWIC,390536.447222222,1430399.88833333,1076.69
B4MWQ,390661.327222222,1430827.91833333,1062.3
B4MWT,390011.467222222,1429647.70833333,1109.1
B4MWU,390283.797222222,1430167.61833333,1095.5
B4MWV,390730.547222222,1429427.00833333,1107.4
