LOCID,BEGDEPTH,ENDDEPTH,LOGDATE,ASTMCODE,HS_UNIT,VISDESC,USER_COMMENTS,lithcode
AFFHP014,8,15.5,2001-09-25T06:00:00Z,CL,NA,"CLAYEY SILT TO SILTY CLAY:, WET, SOFT, VERY WEATHERED SAPROLITE OF GRANITIC GNEISS, OLIVE GRAY, SOFT, DAMP, SILTY CLAY, NO STRUCURE,",NA,CLAY
AFFHP014,2,5.4,2001-09-25T06:00:00Z,SM,NA,"SILTY SAND: SAPROLITE OF GRANITIC GNEISS WITH 1 AMPHIBOLITE LAYER, ROCK FRAGMENTS, BLACK AND WHITE, MOIST, LOOSE.",NA,SILTY SAND
AFFHP014,0,2,2001-09-25T06:00:00Z,NA,NA,"FILL: RED, CLAYEY SILT, TYPICAL, LARGE GRAINS OF FELDSPAR AND MUSCOVITE, MOIST (FROM RAIN).",NA,NA
AFFHP014,15.5,20,2001-09-25T06:00:00Z,NA,NA,"BEACH SAND, QUARTZ, FILL MATERIAL WITH WOOD PIECES, QUARTZITE ROCK FRAGMENTS, DAMP TO WET.",NA,NA
AFFHP015,9,10,2001-09-25T06:00:00Z,CL,NA,"SILTY CLAY: MOIST, YELLOWISH RED, ROCK FRAGMENTS, LARGE MUSCOVITE GRAINS, SOFT.",NA,CLAY
AFFHP015,2.9,9,2001-09-25T06:00:00Z,ML,NA,"CLAYEY SILT: DARK OLIVE GRAY, WET, SOFT, SOME ROCK FRAGMENTS.",NA,SILT
AFFHP015,15,17.7,2001-09-25T06:00:00Z,NA,NA,"SAND AND CLAYEY SAND: WET, WOOD PIECES, ROCK FRAGMENTS, SAND COARSE TO FINE QUARTZ, ORGANIC RICH, VERY SOFT.",NA,NA
AFFHP015,13,15,2001-09-25T06:00:00Z,NA,NA,"SAND AND CLAYEY SAND: WET, WOOD PIECES, ROCK FRAGMENTS, SAND COARSE TO FINE QUARTZ, ORGANIC RICH.",NA,NA
AFFHP015,17.7,18,2001-09-25T06:00:00Z,SM,NA,"SILTY SAND: SAPROLITE OF GRANITIC GNEISS, BLACK AND WHITE, MOIST, LOOSE.",NA,SILTY SAND
AFFHP015,2.5,2.9,2001-09-25T06:00:00Z,SC,NA,"CLAYEY SAND: WET, SAPROLITE OF AMPHIBOLITE, BLACK.",NA,CLAYEY SAND
AFFHP015,0,2.5,2001-09-25T06:00:00Z,NA,NA,"FILL: RED CLAYEY SILT, TYPICAL, GRADES TO DARK REDDISH BROWN, MOIST (FROM RAIN), ROCK FRAGMENTS, LARGE GRAINS OF MUSCOVITE, AMPHIBOLITE ROCK FRAGMENTS, ABOVE CONTACT.",NA,NA
AFFHP015,10,13,2001-09-25T06:00:00Z,CL,NA,"SILTY CLAY: MOIST, GRAY AND OLIVE YELLOW MOTTLED, ROCK FRAGMENTS, LARGE MUSCOVITE GRAINS, SOFT.",NA,CLAY
AFFHP016,1.5,2.2,2001-09-25T06:00:00Z,NA,NA,"FILL: LOOSE, STRONG PETROLEUM ODOR, MOIST.",NA,NA
AFFHP016,7.5,7.6,2001-09-25T06:00:00Z,CL,NA,"1 OF ORGANIC MATERIAL LIKE PEAT, STICKS AND ROOTS ON TOP.",NA,CLAY
AFFHP016,7.6,10,2001-09-25T06:00:00Z,CL,NA,"SILTY CLAY: OLIVE BROWN, SOME ROOTS, MOIST, SOFT.",NA,CLAY
AFFHP016,14.2,15,2001-09-25T06:00:00Z,ML,NA,"CLAYEY SILT: LIGHT GRAY, SOFT, DAMP, RELICT STRUCTURE VISIBLE.",NA,SILT
