LOCID,ECOORD,NCOORD,ELEV,MPELEV,IBDEPTH,IEDEPTH,maxdepth,zero,ECOORD.1,NCOORD.1,start_date,last_date,last_meas,last10mean,water_elev
OB202B,390808.587222222,1431133.00833333,1058.1,1058.87,NA,NA,NA,0,390808.587222222,1431133.00833333,1998-04-02,2018-04-02,30.99,48.936,1009.9339999999999
OB202C,390886.867222222,1431091.09833333,1053.75,1055.15,29.5,34.5,34.5,0,390886.867222222,1431091.09833333,1998-04-02,2002-04-23,NA,21.2,1033.95
OB203A,390974.737222222,1430921.35833333,1035.41,1037.45,NA,NA,NA,0,390974.737222222,1430921.35833333,1998-04-02,2019-10-16,14.51,12.384,1025.066
OB203B,391064.237222222,1430957.76833333,1027.23,1028.89,NA,NA,NA,0,391064.237222222,1430957.76833333,1998-04-02,2002-04-23,9.03,59.392,969.498
OB203C,391067.917222222,1430954.48833333,1026.96,1028.08,24.2,29.2,29.2,0,391067.917222222,1430954.48833333,1998-04-02,2008-07-01,12.2,10.26,1017.8199999999999
OB203CR,391066.617222222,1430960.94833333,1026.96,1028.08,24.2,29.2,29.2,0,391066.617222222,1430960.94833333,2009-03-12,2019-10-20,9.85,9.209999999999999,1018.8699999999999
OB204A,391419.417222222,1430669.69833333,1072.6,1074.07,NA,NA,NA,0,391419.417222222,1430669.69833333,2000-03-06,2017-04-04,NA,NaN,NaN
OB204B,391378.007222222,1430701.40833333,1066.76,1066.46,NA,NA,NA,0,391378.007222222,1430701.40833333,1998-04-02,2018-04-02,28.03,30.597,1035.863
OB204C,391452.007222222,1430617.40833333,1071.88,1073.37,NA,NA,NA,0,391452.007222222,1430617.40833333,1998-04-02,2018-04-02,32.72,49.284,1024.0859999999998
OB205A,391511.497222222,1430526.33833333,1068.74,1068.44,NA,NA,NA,0,391511.497222222,1430526.33833333,1997-06-13,2019-10-17,32.71,30.572,1037.8680000000002
OB205B,391460.907222222,1430513.73833333,1067.77,1069.09,NA,NA,NA,0,391460.907222222,1430513.73833333,1998-04-01,2018-04-02,28.65,34.37,1034.72
